#did	when	nextofkin
ENSG00000011177		ENSG00000011177.5
ENSG00000079782		ENSG00000079782.8
ENSG00000096087		ENSG00000096087.5
ENSG00000105663.1		ENSG00000272333
ENSG00000105663		ENSG00000272333
ENSG00000132142.1		ENSG00000278540
ENSG00000132142		ENSG00000278540
ENSG00000172070.5		ENSG00000271303
ENSG00000172070		ENSG00000271303
ENSG00000175818		ENSG00000175818.6
ENSG00000184674		ENSG00000184674.8
ENSG00000187919		ENSG00000187919.5
ENSG00000197592		ENSG00000197592.3
ENSG00000198339.3		ENSG00000276180
ENSG00000198339		ENSG00000276180
ENSG00000198981.2		ENSG00000284032
ENSG00000198981		ENSG00000284032
ENSG00000199004		ENSG00000284190
ENSG00000199066.1		ENSG00000284544
ENSG00000199066		ENSG00000284544
ENSG00000199097		ENSG00000284231
ENSG00000207603.1		ENSG00000284179
ENSG00000207603		ENSG00000284179
ENSG00000207694		ENSG00000284453
ENSG00000207700		ENSG00000276365
ENSG00000207718		ENSG00000283785
ENSG00000207745		ENSG00000284536
ENSG00000207748		ENSG00000283797
ENSG00000207764		ENSG00000284508
ENSG00000207795		ENSG00000283904
ENSG00000207865		ENSG00000284357
ENSG00000207875		ENSG00000284520
ENSG00000207929		ENSG00000284112
ENSG00000207936		ENSG00000283733
ENSG00000207939		ENSG00000284567
ENSG00000207949		ENSG00000283844
ENSG00000207966		ENSG00000207966.1
ENSG00000207968		ENSG00000207968.2
ENSG00000208034		ENSG00000284538
ENSG00000208035		ENSG00000284182
ENSG00000209707		ENSG00000209707.1
ENSG00000211589		ENSG00000211589.1
ENSG00000213052		ENSG00000213052.1
ENSG00000214699		ENSG00000214699.1
ENSG00000221035		ENSG00000221035.1
ENSG00000255604		ENSG00000109072
ENSG00000262852		ENSG00000170276
ENSG00000266658		ENSG00000266658.2
ENSG00000273895		ENSG00000284027
ENSG00000274160		ENSG00000274160.1
ENSG00000274250		ENSG00000283797
ENSG00000274784		ENSG00000284231
ENSG00000275042		ENSG00000284536
ENSG00000275534		ENSG00000283762
ENSG00000275668		ENSG00000284214
ENSG00000275739		ENSG00000284112
ENSG00000275802		ENSG00000284375
ENSG00000276018		ENSG00000283705
ENSG00000276752		ENSG00000284203
ENSG00000276792		ENSG00000283927
ENSG00000277328		ENSG00000283844
ENSG00000277934		ENSG00000284033
ENSG00000282827		ENSG00000164053
ENSG00000283147		ENSG00000283147.1
